genus,species,authority,exposition,plant_maturity,leaf_age,site,site_code,site_type,island,latitude_degree,longitude_degree,elevation_m_site,elevation_m_plant,date_sampled,plant_id,leaf_id,lower_number_of_stomata,upper_number_of_stomata,lower_stomatal_density_mm2,upper_stomatal_density_mm2,lower_gcl_um,upper_gcl_um,leaf_thickness_um,Tleaf,A,gsw
Sida,fallax,Walp.,natural environment,mature,mature,Makapuʻu beach,mkpb,coastal,oahu,21.31289,-157.66133,3.048,3.048,2022-08-07,i1,l1,353,0,396.7620173089397,0,16.5120485078125,NA,229.17457521963217,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Makapuʻu beach,mkpb,coastal,oahu,21.31289,-157.66133,3.048,3.048,2022-08-07,i1,l2,252,0,283.2408735463252,0,15.797712710937502,NA,229.17457521963217,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Makapuʻu beach,mkpb,coastal,oahu,21.31289,-157.66133,3.048,3.048,2022-08-07,i1,l3,472,51,530.5146520391488,57.322557741518196,13.3071101171875,20.7797688046875,229.17457521963217,28.0115,32.8734456123625,0.3487035962715497
Sida,fallax,Walp.,natural environment,mature,mature,Makapuʻu beach,mkpb,coastal,oahu,21.31289,-157.66133,3.048,3.048,2022-08-07,i2,l2,283,0,318.0839968794049,0,17.258931468750003,NA,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Makapuʻu beach,mkpb,coastal,oahu,21.31289,-157.66133,3.048,3.048,2022-08-07,i3,l1,274,4,307.9682513956076,4.495886881687702,16.928992570312502,18.316554755859375,209.92317628547025,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Makapuʻu beach,mkpb,coastal,oahu,21.31289,-157.66133,3.048,3.048,2022-08-07,i3,l3,237,10,266.38129773999634,11.239717204219254,14.4690226015625,19.498303992187502,209.92317628547025,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Makapuʻu beach,mkpb,coastal,oahu,21.31289,-157.66133,3.048,3.048,2022-08-07,i4,l1,340,4,382.15038494345464,4.495886881687702,14.81172509375,25.183368193359374,310.01740351423564,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Makapuʻu beach,mkpb,coastal,oahu,21.31289,-157.66133,3.048,3.048,2022-08-07,i4,l2,346,61,388.8942152659862,68.56227494573746,15.3041870859375,21.837445273437503,310.01740351423564,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Makapuʻu beach,mkpb,coastal,oahu,21.31289,-157.66133,3.048,3.048,2022-08-07,i5,l1,360,23,404.62981935189316,25.851349569704286,17.339342109375004,20.9986644375,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Makapuʻu beach,mkpb,coastal,oahu,21.31289,-157.66133,3.048,3.048,2022-08-07,i5,l2,287,0,322.5798837610926,0,21.3664686640625,NA,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Makapuʻu beach,mkpb,coastal,oahu,21.31289,-157.66133,3.048,3.048,2022-08-07,i6,l1,480,19,539.5064258025242,21.355462688016583,15.145918523437501,22.2267348828125,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Makapuʻu beach,mkpb,coastal,oahu,21.31289,-157.66133,3.048,3.048,2022-08-07,i6,l2,499,13,560.8618884905408,14.61163236548503,13.9503952421875,25.4031679140625,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Makapuʻu beach,mkpb,coastal,oahu,21.31289,-157.66133,3.048,3.048,2022-08-07,i7,l1,442,0,496.79550042649106,0,13.9661370078125,NA,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Makapuʻu beach,mkpb,coastal,oahu,21.31289,-157.66133,3.048,3.048,2022-08-07,i7,l2,483,4,542.87834096379,4.495886881687702,14.1877980859375,22.441854619140624,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Makapuʻu beach,mkpb,coastal,oahu,21.31289,-157.66133,3.048,3.048,2022-08-07,i8,l1,389,95,437.224999244129,106.77731344008292,17.32360034375,26.4323390234375,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Makapuʻu beach,mkpb,coastal,oahu,21.31289,-157.66133,3.048,3.048,2022-08-07,i8,l2,391,63,439.47294268497285,70.8102183865813,16.159347867187503,21.011853484375003,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Puakō petroglyph park,pkpp,coastal,hawaii,19.95653,-155.85768,7.9248,14.0208,2022-08-19,i1,l1,114,42,128.1327761280995,47.20681225772087,14.712169062500001,19.9088662578125,184.82295969124885,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Puakō petroglyph park,pkpp,coastal,hawaii,19.95653,-155.85768,7.9248,14.0208,2022-08-19,i1,l2,175,62,196.69505107383696,69.68624666615938,13.48260953125,23.396092796875003,184.82295969124885,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Puakō petroglyph park,pkpp,coastal,hawaii,19.95653,-155.85768,7.9248,10.0584,2022-08-19,i3,l1,310,10,348.4312333307969,11.239717204219254,12.4927928359375,26.30406490625,198.06372444654346,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Puakō petroglyph park,pkpp,coastal,hawaii,19.95653,-155.85768,7.9248,7.9248,2022-08-19,i4,l1,279,58,313.5881099977172,65.19035978447168,14.3069249609375,21.142893046875002,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Puakō petroglyph park,pkpp,coastal,hawaii,19.95653,-155.85768,7.9248,7.9248,2022-08-19,i4,l2,367,54,412.49762139484665,60.69447290278397,13.5772728515625,20.500458828125,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Puakō petroglyph park,pkpp,coastal,hawaii,19.95653,-155.85768,7.9248,10.0584,2022-08-19,i5,l1,268,36,301.22442107307603,40.46298193518932,13.775534007812501,20.0045932109375,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Puakō petroglyph park,pkpp,coastal,hawaii,19.95653,-155.85768,7.9248,9.144,2022-08-19,i7,l1,302,70,339.43945956742147,78.67802042953478,13.335190023437502,16.348036328124998,199.71277159922738,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Puakō petroglyph park,pkpp,coastal,hawaii,19.95653,-155.85768,7.9248,9.144,2022-08-19,i7,l2,262,42,294.4805907505445,47.20681225772087,12.9237768515625,15.756656484375,199.71277159922738,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Puakō petroglyph park,pkpp,coastal,hawaii,19.95653,-155.85768,7.9248,9.144,2022-08-19,i8,l1,298,61,334.9435726857338,68.56227494573746,12.060319734375,20.4019664296875,NA,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Puakō petroglyph park,pkpp,coastal,hawaii,19.95653,-155.85768,7.9248,9.144,2022-08-19,i8,l2,358,80,402.3818759110493,89.91773763375403,13.272435687500002,21.211816453125003,NA,28.0187,17.853347137560018,0.13371402174815028
Sida,fallax,Walp.,natural environment,mature,mature,Kaloko-Honokōhau national historical park,knhp,coastal,hawaii,19.67598,-156.02405,6.096,3.048,2022-08-20,i1,l1,314,78,352.92712021248457,87.66979419291019,18.766099164062503,25.887971750000002,187.6636693484777,NA,NA,NA
Sida,fallax,Walp.,natural environment,mature,mature,Kaloko-Honokōhau national historical park,knhp,coastal,hawaii,19.67598,-156.02405,6.096,3.048,2022-08-20,i1,l2,463,142,520.3989065553515,159.6039842999134,14.5017824921875,24.453769265625,187.6636693484777,NA,NA,NA
