site_code,individual,replicate,leaf_thickness_pixels,pixels_per_mm,leaf_thickness_um
mkpb,i1,r1,217.745,940.1741000000001,231.60072161102926
mkpb,i1,r2,214.953,940.1741000000001,228.63105886452306
mkpb,i1,r3,213.694,940.1741000000001,227.2919451833442
mkpb,i3,r1,195.144,940.1741000000001,207.56155694993086
mkpb,i3,r2,193.961,940.1741000000001,206.30327936070563
mkpb,i3,r3,202.988,940.1741000000001,215.90469254577422
mkpb,i4,r1,294.287,940.1741000000001,313.01330253620046
mkpb,i4,r2,290.062,940.1741000000001,308.5194540032532
mkpb,i4,r3,290.062,940.1741000000001,308.5194540032532
khkp,i4,r1,272.762,940.1741000000001,290.1186067559189
khkp,i4,r2,258.452,940.1741000000001,274.89802154728574
khkp,i4,r3,241.09,940.1741000000001,256.43122906704195
khkp,i5,r1,372.391,940.1741000000001,396.08727787757607
khkp,i5,r2,353.229,940.1741000000001,375.7059463773784
khkp,i5,r3,366.062,940.1741000000001,389.3555459568605
khkp,i8,r1,264.008,940.1741000000001,280.80756532221
khkp,i8,r2,266.469,940.1741000000001,283.42516561560245
khkp,i8,r3,251.923,940.1741000000001,267.95356306879756
khkp,i9,r1,256.916,940.1741000000001,273.2642815835918
khkp,i9,r2,256.242,940.1741000000001,272.547393083898
khkp,i9,r3,272.866,940.1741000000001,290.2292245659607
klkb,i1,r1,351.446,940.1741000000001,373.8094891148352
klkb,i1,r2,354.782,940.1741000000001,377.357768098483
klkb,i1,r3,390.037,940.1741000000001,414.856142069857
klkb,i5,r1,367.245,940.1741000000001,390.61382354608577
klkb,i5,r2,368.594,940.1741000000001,392.0486641782623
klkb,i5,r3,358.603,940.1741000000001,381.4219089847295
klkb,i7,r1,396.611,940.1741000000001,421.8484640238441
klkb,i7,r2,384.857,940.1741000000001,409.3465242235454
klkb,i7,r3,408.563,940.1741000000001,434.5610031163377
knpn,i2,r1,284.415,940.1741000000001,302.5131196445424
knpn,i2,r2,270.843,940.1741000000001,288.07749543409034
knpn,i2,r3,272.188,940.1741000000001,289.5080815351114
knpn,i4,r1,298.501,940.1741000000001,317.4954511084702
knpn,i4,r2,294.911,940.1741000000001,313.6770093964511
knpn,i4,r3,279.796,940.1741000000001,297.60019979278303
knpn,i5,r1,266.731,940.1741000000001,283.7038374062846
knpn,i5,r2,270.565,940.1741000000001,287.7818055187863
knpn,i5,r3,265.11,940.1741000000001,281.9796886555373
