site_code,individual,elevation_m,elevation_feet
mkpb,i1,3.048,10
mkpb,i2,3.048,10
mkpb,i3,3.048,10
mkpb,i4,3.048,10
mkpb,i5,3.048,10
mkpb,i6,3.048,10
mkpb,i7,3.048,10
mkpb,i8,3.048,10
hwlr,i1,385.8768,1266
hwlr,i2,374.2944,1228
hwlr,i3,356.0064,1168
hwlr,i4,351.7392,1154
hwlr,i5,343.5096,1127
hwlr,i6,333.1464,1093
hwlr,i7,319.1256,1047
hwlr,i8,325.5264,1068
kgma,i1,1939.1376,6362
kgma,i2,1941.8808,6371
kgma,i3,1944.0144,6378
kgma,i4,1946.148,6385
kgma,i5,1944.9288,6381
kgma,i6,1947.9768,6391
kgma,i7,1949.5008,6396
kgma,i8,1952.8536,6407
ktrs,i1,968.0448,3176
ktrs,i2,968.9592,3179
ktrs,i3,969.8736,3182
ktrs,i4,969.8736,3182
ktrs,i5,969.8736,3182
ktrs,i6,971.0928,3186
ktrs,i7,971.0928,3186
ktrs,i8,968.9592,3179
pkpp,i1,14.0208,46
pkpp,i2,14.9352,49
pkpp,i3,10.0584,33
pkpp,i4,7.9248,26
pkpp,i5,10.0584,33
pkpp,i6,7.9248,26
pkpp,i7,9.144,30
pkpp,i8,9.144,30
hlan,i1,1566.9768,5141
hlan,i2,1566.9768,5141
hlan,i3,1566.9768,5141
hlan,i4,1566.9768,5141
hlan,i5,1566.9768,5141
hlan,i6,1566.9768,5141
hlan,i7,1566.9768,5141
hlan,i8,1566.9768,5141
knhp,i1,3.048,10
knhp,i2,3.048,10
knhp,i3,4.2672,14
knhp,i4,6.096,20
knhp,i5,6.096,20
knhp,i6,7.0104,23
knhp,i7,8.2296,27
knhp,i8,9.144,30
klkb,i1,3.9624,13
klkb,i2,3.9624,13
klkb,i3,3.9624,13
klkb,i4,3.9624,13
klkb,i5,3.9624,13
klkb,i6,3.9624,13
klkb,i7,3.9624,13
klkb,i8,3.9624,13
whlr,i1,363.9312,1194
whlr,i2,362.1024,1188
whlr,i3,359.664,1180
whlr,i4,356.616,1170
whlr,i5,353.8728,1161
whlr,i6,352.044,1155
whlr,i7,341.9856,1122
whlr,i8,342.9,1125
khkp,i1,3.9624,13
khkp,i2,3.9624,13
khkp,i3,3.9624,13
khkp,i4,3.9624,13
khkp,i5,3.9624,13
khkp,i6,3.9624,13
khkp,i7,3.9624,13
khkp,i8,3.9624,13
nnpl,i1,365.1504,1198
knpn,i1,4.2672,14
knpn,i2,4.2672,14
knpn,i3,4.2672,14
knpn,i4,4.2672,14
knpn,i5,4.2672,14
knpn,i6,4.2672,14
knpn,i7,4.2672,14
knpn,i8,4.2672,14
mmrd,i1,299.6184,983
mmrd,i2,298.0944,978
mmrd,i3,252.3744,828
mmrd,i4,248.412,815
mmrd,i5,245.9736,807
mmrd,i6,310.896,1020
mmrd,i7,335.28,1100
mmrd,i8,335.28,1100
