site_code,individual,leaf_number,surface,number_of_stomata,quality
mkpb,i1,l1,lower,353,A
mkpb,i1,l1,upper,0,A
mkpb,i1,l2,lower,252,A
mkpb,i1,l2,upper,0,B
mkpb,i1,l3,lower,472,A
mkpb,i1,l3,upper,51,A
mkpb,i2,l2,lower,283,A
mkpb,i2,l2,upper,0,A
mkpb,i3,l1,lower,274,A
mkpb,i3,l1,upper,4,A
mkpb,i3,l3,lower,237,A
mkpb,i3,l3,upper,10,A
mkpb,i4,l1,lower,340,A
mkpb,i4,l1,upper,4,A
mkpb,i4,l2,lower,346,A
mkpb,i4,l2,upper,61,A
mkpb,i5,l1,lower,360,B
mkpb,i5,l1,upper,23,A
mkpb,i5,l2,lower,287,A
mkpb,i5,l2,upper,0,B
mkpb,i6,l1,lower,480,A
mkpb,i6,l1,upper,19,A
mkpb,i6,l2,lower,499,A
mkpb,i6,l2,upper,13,A
mkpb,i7,l1,lower,442,A
mkpb,i7,l1,upper,0,A
mkpb,i7,l2,lower,483,A
mkpb,i7,l2,upper,4,A
mkpb,i8,l1,lower,389,A
mkpb,i8,l1,upper,95,A
mkpb,i8,l2,lower,391,A
mkpb,i8,l2,upper,63,A
pkpp,i1,l1,lower,114,C
pkpp,i1,l1,upper,42,B
pkpp,i1,l2,lower,175,A
pkpp,i1,l2,upper,62,A
pkpp,i2,l1,lower,440,A
pkpp,i2,l1,upper,NA,C
pkpp,i2,l2,lower,357,A
pkpp,i2,l2,upper,33,B
pkpp,i3,l1,lower,310,A
pkpp,i3,l1,upper,10,A
pkpp,i4,l1,lower,279,A
pkpp,i4,l1,upper,58,A
pkpp,i4,l2,lower,367,A
pkpp,i4,l2,upper,54,A
pkpp,i5,l1,lower,268,A
pkpp,i5,l1,upper,36,A
pkpp,i7,l1,lower,302,A
pkpp,i7,l1,upper,70,A
pkpp,i7,l2,lower,262,A
pkpp,i7,l2,upper,42,A
pkpp,i8,l1,lower,298,A
pkpp,i8,l1,upper,61,A
pkpp,i8,l2,lower,358,A
pkpp,i8,l2,upper,80,A
knhp,i1,l1,lower,314,A
knhp,i1,l1,upper,78,A
knhp,i1,l2,lower,463,A
knhp,i1,l2,upper,142,A
knhp,i2,l1,lower,289,A
knhp,i2,l1,upper,93,A
knhp,i2,l2,lower,462,A
knhp,i2,l2,upper,109,A
knhp,i3,l1,lower,393,A
knhp,i3,l1,upper,41,C
knhp,i3,l2,lower,435,B
knhp,i3,l2,upper,44,A
knhp,i4,l1,lower,360,A
knhp,i4,l1,upper,128,A
knhp,i4,l2,lower,461,A
knhp,i4,l2,upper,129,A
knhp,i5,l1,lower,414,A
knhp,i5,l1,upper,76,A
knhp,i5,l2,lower,527,A
knhp,i5,l2,upper,113,A
knhp,i6,l1,lower,403,A
knhp,i6,l1,upper,99,A
knhp,i6,l2,lower,427,A
knhp,i6,l2,upper,45,A
knhp,i7,l1,lower,260,A
knhp,i7,l1,upper,59,A
knhp,i7,l2,lower,274,A
knhp,i7,l2,upper,57,A
knhp,i8,l1,lower,71,C
knhp,i8,l1,upper,14,B
knhp,i8,l2,lower,326,A
knhp,i8,l2,upper,87,A
klkb,i1,l1,lower,428,A
klkb,i1,l1,upper,97,A
klkb,i1,l2,lower,377,A
klkb,i1,l2,upper,168,A
klkb,i2,l1,lower,462,A
klkb,i2,l1,upper,117,A
