site_code,individual,leaf_number,surface,random_number,angle,length_pixels
mkpb,i1,l1,lower,1,-3.576,15.79
mkpb,i1,l1,lower,2,-58.392,15.352
mkpb,i1,l1,lower,3,42.274,14.866
mkpb,i1,l1,lower,4,-93.576,15.348
mkpb,i1,l1,lower,5,42.51,16.265
mkpb,i1,l2,lower,1,4.764,12.54
mkpb,i1,l2,lower,2,38.66,12.806
mkpb,i1,l2,lower,3,-47.726,14.754
mkpb,i1,l2,lower,4,3.18,17.346
mkpb,i1,l2,lower,5,-139.764,16.817
mkpb,i1,l3,lower,1,-31.608,14.496
mkpb,i1,l3,lower,2,77.005,12.981
mkpb,i1,l3,lower,3,41.186,10.842
mkpb,i1,l3,lower,4,59.036,11.654
mkpb,i1,l3,lower,5,41.634,12.582
mkpb,i1,l3,upper,1,56.31,18.586
mkpb,i1,l3,upper,2,-38.157,18.156
mkpb,i1,l3,upper,3,8.973,19.198
mkpb,i1,l3,upper,4,55.491,19.067
mkpb,i1,l3,upper,5,-65.772,22.676
mkpb,i2,l2,lower,1,-45,14.851
mkpb,i2,l2,lower,2,-45,14.15
mkpb,i2,l2,lower,3,-78.111,19.416
mkpb,i2,l2,lower,4,11.31,14.97
mkpb,i2,l2,lower,5,-83.66,17.745
mkpb,i3,l1,lower,1,-58.392,15.464
mkpb,i3,l1,lower,2,-7.595,15.463
mkpb,i3,l1,lower,3,-8.13,14.109
mkpb,i3,l1,lower,4,-38.66,18.741
mkpb,i3,l1,lower,5,-29.745,15.804
mkpb,i3,l1,upper,1,-14.931,15.293
mkpb,i3,l1,upper,2,127.569,16.401
mkpb,i3,l1,upper,3,-30.964,17.452
mkpb,i3,l1,upper,4,-5.711,19.737
mkpb,i3,l3,lower,1,-4.086,13.509
mkpb,i3,l3,lower,2,-15.255,11.494
mkpb,i3,l3,lower,3,-26.565,16.1
mkpb,i3,l3,lower,4,-52.125,11.8
mkpb,i3,l3,lower,5,47.726,15.114
mkpb,i3,l3,upper,1,0,18.667
mkpb,i3,l3,upper,2,-37.569,16.56
mkpb,i3,l3,upper,3,3.366,16.347
mkpb,i3,l3,upper,4,16.699,21.297
mkpb,i3,l3,upper,5,64.799,18.788
mkpb,i4,l1,lower,1,65.225,14.016
mkpb,i4,l1,lower,2,-21.038,14.631
mkpb,i4,l1,lower,3,50.711,14.706
mkpb,i4,l1,lower,4,-30.256,13.437
mkpb,i4,l1,lower,5,30.256,12.838
mkpb,i4,l1,upper,1,90,20.011
